id,title,description,Price,image_link,availability,link
30,Movie Night Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/movie.png?v=1636331303,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-swole-mate
31,College Exam Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2121287243_aq5o.jpg?v=1636320729,in stock,https://stickersforcarepackage.com/collections/college/products/college-birthday-care-package-stickers-exam-kit
32,College Care Package Stickers,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2124347349_nig2.jpg?v=1636322074,in stock,https://stickersforcarepackage.com/collections/college/products/college-birthday-care-package-stickers
33,College Care Package Stickers - Medical,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2077397566_gl2r.jpg?v=1636315420,in stock,https://stickersforcarepackage.com/collections/college/products/college-care-package-stickers-medical
34,Long Distance Care Package Stickers - There for You,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2124028137_pwl6.jpg?v=1636426585,in stock,https://stickersforcarepackage.com/collections/long-distance/products/copy-of-long-distance-care-package-stickers-there-for-you
35,Care Package Stickers - Sunshine,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2180445724_tr7b.jpg?v=1636404133,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-out-of-the-blue
36,Long Distance Care Package Stickers - World Map,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2122820649_361u.jpg?v=1636425456,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-world-map-1
37,Long-Distance Care Package Stickers - All The Stars,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2130555805_k2gq.jpg?v=1636328270,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers
38,Long-Distance Relationship Care Package Stickers - Jerkin,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2090901398_pugn.jpg?v=1636403397,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-jerkin
39,Long Distance Realationship Care Package Stickers - Kiss You,"Turn your delivery into something extraordinary. Our care package sticker kits are printed on sticker paper, come ready to use and require no glue. Our kits are designed specifically for USPS Medium and Large flat rate boxes, but can be used on some UPS, FedEx and other shipping boxes.",9.99,https://cdn.shopify.com/s/files/1/0493/4146/4725/products/il_1588xN.2490454237_chz9.jpg?v=1636314479,in stock,https://stickersforcarepackage.com/collections/long-distance/products/long-distance-care-package-stickers-world-map
